parameter_set_id,parameter_version,event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,label_value,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,azimuth_deg,nmea_snr_db_hz,geometry_join_valid,geometry_time_delta_s,environment_modeling_ready,elevation_modeling_ready,excess_delay_samples,excess_delay_chips,excess_delay_s,excess_path_length_m,doppler_offset_hz,relative_doppler_hz,relative_power_db,source_power_field,source_file,source_file_sha256,source_row_number,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,469,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:57.360Z,Urban,high-rise buildings,urban road,34,MID,228,44,1,0.36,1,1,1.7,0.17,1.66177908113e-07,49.8188835386,-21.311063597,-21.311063597,-6.12322208384,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,9,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,471,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:57.400Z,Urban,high-rise buildings,urban road,34,MID,228,44,1,0.4,1,1,1.7,0.17,1.66177908113e-07,49.8188835386,-17.1372299111,-17.1372299111,-4.88615542102,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,11,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,594,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:59.860Z,Urban,high-rise buildings,urban road,34,MID,228,42,1,0.14,1,1,1.2,0.12,1.17302052786e-07,35.1662707331,-31.0233485932,-31.0233485932,-6.06877775185,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,13,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874__path_2,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,2,874,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:27:35.460Z,Urban,low-rise residential area,urban residential road,73,HIGH,136,48,1,0.47,1,1,1,0.1,9.77517106549e-08,29.3052256109,9.66430209529,9.66430209529,-7.85419886107,mean_relative_power_db,scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,d85483af3f5285ef6778decb83bcde4e823fba401f872e7ba8a49edef43b0e1f,6,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124__path_2,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,7,124,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:27:20.460Z,Urban,low-rise residential area,urban residential road,,,,,0,10.53,1,0,1.1,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,-12.5674704012,mean_relative_power_db,scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,855c49eedcfd007ecd064215674789f2bfb41bb556e292d5c608d621bca23bc8,6,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286__path_2,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,7,286,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:27:23.700Z,Urban,low-rise residential area,urban residential road,,,,,0,7.29,1,0,1.1,0.11,1.0752688172e-07,32.235748172,-5.33569790471,-5.33569790471,-6.03250890184,mean_relative_power_db,scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,855c49eedcfd007ecd064215674789f2bfb41bb556e292d5c608d621bca23bc8,11,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_84__path_2,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_84,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,4,84,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:31:55.660Z,Urban,tram infrastructure and moving tram,urban tram road,74,HIGH,129,48,1,0.33,1,1,1,0.1,9.77517106549e-08,29.3052256109,-5.33569790471,-5.33569790471,-6.63445699394,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,b0091149a459357d0b10f82191dfaeac1b495b843a88aaa9104c525bf82d28e4,6,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_417__path_2,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_417,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,4,417,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:32:02.320Z,Urban,tram infrastructure and moving tram,urban tram road,74,HIGH,129,50,1,0.33,1,1,1,0.1,9.77517106549e-08,29.3052256109,-5.38479989099,-5.38479989099,-4.73078763184,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,b0091149a459357d0b10f82191dfaeac1b495b843a88aaa9104c525bf82d28e4,9,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_74__path_2,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_74,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,8,74,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:31:55.460Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,225,46,1,0.53,1,1,1.5,0.15,1.46627565982e-07,43.9578384164,-15.3356979047,-15.3356979047,-10.6563797918,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,6919625976b9d1027b5c91563fddee29c80a891508960a5b09efe8a11ee9cbfb,3,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_75__path_2,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_75,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,8,75,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:31:55.480Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,225,46,1,0.51,1,1,3.5,0.35,3.42130987292e-07,102.568289638,-10.3356979047,-10.3356979047,-13.7590184841,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,6919625976b9d1027b5c91563fddee29c80a891508960a5b09efe8a11ee9cbfb,5,complete
