parameter_set_id,parameter_version,event_id,run_id,scene_id,prn,center_window_id,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,environment_modeling_ready,elevation_modeling_ready,confirmed_path_count,elevation_modeling_ready_path_count,max_excess_delay_chips,median_excess_delay_chips,mean_excess_delay_chips,max_excess_delay_s,max_excess_path_length_m,min_relative_doppler_hz,max_relative_doppler_hz,relative_doppler_span_hz,median_relative_doppler_hz,min_relative_power_db,max_relative_power_db,median_relative_power_db,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,76,2026-01-20T15:21:19.500Z,Urban,high-rise buildings,urban road,74,HIGH,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,0,9.66430209529,-8.1520128176,-8.1520128176,-8.1520128176,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,78,2026-01-20T15:21:19.540Z,Urban,high-rise buildings,urban road,74,HIGH,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,0,9.66430209529,-7.65772309879,-7.65772309879,-7.65772309879,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1218,2026-01-20T15:21:42.340Z,Urban,high-rise buildings,urban road,34,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-1.18569544442,-1.18569544442,0,-1.18569544442,1.99172158788,1.99172158788,1.99172158788,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2593,2026-01-20T15:22:09.840Z,Urban,high-rise buildings,urban road,33,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,19.6643020953,19.6643020953,0,19.6643020953,-8.37792084097,-8.37792084097,-8.37792084097,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2594,2026-01-20T15:22:09.860Z,Urban,high-rise buildings,urban road,33,MID,1,1,1,1,0.12,0.12,0.12,1.17302052786e-07,35.1662707331,4.66430209529,4.66430209529,0,4.66430209529,-2.10703189943,-2.10703189943,-2.10703189943,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,469,2026-01-20T15:21:57.360Z,Urban,high-rise buildings,urban road,34,MID,1,1,1,1,0.17,0.17,0.17,1.66177908113e-07,49.8188835386,-21.311063597,-21.311063597,0,-21.311063597,-6.12322208384,-6.12322208384,-6.12322208384,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,471,2026-01-20T15:21:57.400Z,Urban,high-rise buildings,urban road,34,MID,1,1,1,1,0.17,0.17,0.17,1.66177908113e-07,49.8188835386,-17.1372299111,-17.1372299111,0,-17.1372299111,-4.88615542102,-4.88615542102,-4.88615542102,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,594,2026-01-20T15:21:59.860Z,Urban,high-rise buildings,urban road,34,MID,1,1,1,1,0.12,0.12,0.12,1.17302052786e-07,35.1662707331,-31.0233485932,-31.0233485932,0,-31.0233485932,-6.06877775185,-6.06877775185,-6.06877775185,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,784,2026-01-20T15:22:03.660Z,Urban,high-rise buildings,urban road,34,MID,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,12.8859841776,12.8859841776,0,12.8859841776,-10.2137455218,-10.2137455218,-10.2137455218,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,874,2026-01-20T15:27:35.460Z,Urban,low-rise residential area,urban residential road,73,HIGH,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,9.66430209529,9.66430209529,0,9.66430209529,-7.85419886107,-7.85419886107,-7.85419886107,complete
