event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version,context_alignment_version
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,347,53.6837349951124,562734.92,2026-01-17T12:18:36.920Z,83.000,357.000,49.0599327087402,49.000,51.4852296000839,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.06,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,350,53.7437351906158,562734.98,2026-01-17T12:18:36.980Z,83.000,357.000,49.0500869750977,49.000,51.6152399999527,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_557,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,557,57.8914086999023,562739.12,2026-01-17T12:18:41.120Z,42.000,304.000,46.1604156494141,46.000,48.9116904000228,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:40.980Z,0.14,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_558,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,558,57.9114086999022,562739.14,2026-01-17T12:18:41.140Z,42.000,304.000,46.180492401123,46.000,48.8535375999687,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:40.980Z,0.16,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_18,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,18,47.1113903225806,562728.34,2026-01-17T12:18:30.340Z,42.000,304.000,45.9887504577637,46.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:31.980Z,1.64,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,58,47.9113916911046,562729.14,2026-01-17T12:18:31.140Z,42.000,304.000,45.9552688598633,46.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:31.980Z,0.84,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,409,54.9314036168133,562736.16,2026-01-17T12:18:38.160Z,42.000,304.000,46.0673789978027,46.000,49.6098944000022,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:37.980Z,0.18,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,556,57.8714086021505,562739.1,2026-01-17T12:18:41.100Z,42.000,304.000,46.0886993408203,46.000,48.969843200077,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:40.980Z,0.12,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,559,57.9314086999022,562739.16,2026-01-17T12:18:41.160Z,42.000,304.000,46.0898704528809,46.000,48.7953847999145,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:40.980Z,0.18,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,307,52.8884954056696,562734.12,2026-01-17T12:18:36.120Z,56.000,207.000,45.5915679931641,46.000,49.751757599983,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:35.980Z,0.14,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,308,52.9084954056696,562734.14,2026-01-17T12:18:36.140Z,56.000,207.000,45.5915679931641,46.000,49.7950944000233,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:35.980Z,0.16,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,309,52.9284955034213,562734.16,2026-01-17T12:18:36.160Z,56.000,207.000,45.607551574707,46.000,49.8384312000637,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:35.980Z,0.18,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,347,53.6884968719453,562734.92,2026-01-17T12:18:36.920Z,56.000,207.000,45.1984024047852,45.000,51.4852296000839,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.06,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,348,53.7084968719453,562734.94,2026-01-17T12:18:36.940Z,56.000,207.000,45.1984024047852,45.000,51.528566399872,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.04,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,349,53.728496969697,562734.96,2026-01-17T12:18:36.960Z,56.000,207.000,45.2714233398438,45.000,51.5719031999124,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.02,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,464,56.0285012707722,562737.26,2026-01-17T12:18:39.260Z,56.000,207.000,45.7217254638672,46.000,49.8365792000036,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:38.980Z,0.28,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
