stage3_path_id,stage3_center_id,run_id,logical_run_key,scene_id,prn,center_window_id,center_recording_time_s,selected_L,multipath_id,excess_delay_samples,doppler_offset_hz,relative_power_db,matched_window_count,longest_consecutive_count,persistence_pass,match_pattern,persistence_radius_windows,support_window_ids,support_window_count_derived,association_parse_status,environment_class,elevation_deg,elevation_band,geometry_join_status,geometry_join_valid,track_id,track_observation_count,track_weight,elevation_ready,quality_status,doppler_provenance_class,primary_exclusion_reason,sensitivity_exclusion_reason,author_gate_id,primary_population_included,sensitivity_population_included,track_weight_fixed_original,track_weight_recomputed_primary,track_weight_recomputed_sensitivity,absolute_doppler_hz,log_excess_delay,log1p_absolute_doppler,cell_id,cell_ready,parent_scope_role
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,730,52.398765884653,3,1,1.6,54.1572297690009,-10.5281244101325,3,3,1,00111,2,730;731;732,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0005,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,54.1572297690009,0.47000362924573563,4.010187829927198,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,730,52.398765884653,3,2,2.6,-45.8427702309991,-12.7081716581542,3,3,1,00111,2,730;731;732,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0006,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,45.8427702309991,0.9555114450274363,3.846796679401661,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_769__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_769,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,769,53.1787677419355,2,1,1.4,-48.7851766972208,-5.49702832783214,4,4,1,01111,2,768;769;770;771,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0007,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,48.7851766972208,0.3364722366212129,3.907717283039751,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_651__mp_1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_651,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,651,50.811752688172,3,1,1.1,-45.4889097332352,-0.332247218288244,3,3,1,00111,2,651;652;653,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0008,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,45.4889097332352,0.09531017980432493,3.8392137837870433,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_651__mp_2,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_651,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,651,50.811752688172,3,2,2.1,-90.4889097332352,-11.2135657944836,3,3,1,00111,2,651;652;653,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0009,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,90.4889097332352,0.7419373447293773,4.516217759834289,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970__mp_1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,970,57.1917811339198,4,1,1.8,54.4273194846846,-4.74040640373085,3,3,1,00111,2,970;971;972,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0010,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,54.4273194846846,0.5877866649021191,4.015072603696364,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970__mp_2,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,970,57.1917811339198,4,2,2.8,-45.5726805153154,-10.6120394389896,3,3,1,00111,2,970;971;972,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0011,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,45.5726805153154,1.0296194171811581,3.8410141141807723,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970__mp_3,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_970,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,970,57.1917811339198,4,3,3.8,99.4273194846846,-13.3141216781399,3,3,1,00111,2,970;971;972,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0012,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,99.4273194846846,1.33500106673234,4.609434276664552,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971__mp_1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,971,57.2117812316716,4,1,1.9,49.4002852466374,-3.47422131512007,4,4,1,01111,2,970;971;972;973,4,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0010,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,49.4002852466374,0.6418538861723947,3.919996834716811,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971__mp_2,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,971,57.2117812316716,4,2,2.9,-50.5997147533626,-13.1326158480606,4,4,1,01111,2,970;971;972;973,4,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0011,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,50.5997147533626,1.0647107369924282,3.9435161444366287,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971__mp_3,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_971,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,971,57.2117812316716,4,3,3.9,99.4002852466374,-14.995546694332,3,3,1,01110,2,970;971;972,3,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0012,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,99.4002852466374,1.3609765531356006,4.609165048355559,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972__mp_1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,972,57.2317813294233,4,1,1,49.3732510085902,-5.11126883036109,4,4,1,11110,2,970;971;972;973,4,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0010,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,49.3732510085902,0.0,3.9194603002316613,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972__mp_2,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,972,57.2317813294233,4,2,2,-50.6267489914098,-12.7648288295861,4,4,1,11110,2,970;971;972;973,4,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0011,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,50.6267489914098,0.6931471805599453,3.944039929475553,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972__mp_3,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__center_972,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,G12,972,57.2317813294233,4,3,3,99.3732510085902,-13.4088386564713,4,4,1,11110,2,970;971;972;973,4,VALID,Mountain/Valley,59,MID,valid,1,ALGTRACK_0012,3,0.3333333333333333,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.3333333333333333,0.333333333333,0.333333333333,99.3732510085902,1.0986122886681098,4.608895747543163,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_298__mp_1,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_298,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2,F1023_V70_D0117_P2,G28,298,43.7590673509286,2,1,1.6,-55.3356979047153,-6.33416297746319,3,3,1,00111,2,298;299;300,3,VALID,Mountain/Valley,29,LOW,valid,1,ALGTRACK_0013,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,55.3356979047153,0.47000362924573563,4.03132840001397,Mountain/Valley__LOW,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_693__mp_1,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_693,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2,F1023_V70_D0117_P2,G28,693,51.6590780058651,3,1,1,-49.4856514822004,-2.02981939618553,3,3,1,01110,2,692;693;694,3,VALID,Mountain/Valley,29,LOW,valid,1,ALGTRACK_0014,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,49.4856514822004,0.0,3.9216891668436653,Mountain/Valley__LOW,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_693__mp_2,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__center_693,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2,F1023_V70_D0117_P2,G28,693,51.6590780058651,3,2,2,-94.4856514822004,-10.0997933159106,3,3,1,01110,2,692;693;694,3,VALID,Mountain/Valley,29,LOW,valid,1,ALGTRACK_0015,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,94.4856514822004,0.6931471805599453,4.558975989938903,Mountain/Valley__LOW,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__center_80__mp_1,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__center_80,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2,F1023_V70_D0117_P2,G29,80,39.3959774193548,2,1,1.5,-15.3356979047153,-15.33792971207,3,3,1,00111,2,80;81;82,3,VALID,Mountain/Valley,41,MID,valid,1,ALGTRACK_0016,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,15.3356979047153,0.4054651081081644,2.7933527686408457,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
