candidate_index,component_count,pooling_kappa,held_out_scene,train_scene_count,test_row_count,test_weight,weighted_nlpd,energy_score,status
6,2,16,F1023_v90_D0117_P7,8,53,27,2.41969759894,2.79986601603,VALID
7,2,32,F1023_V70_D0117_P2,8,57,26,2.97432203305,2.99932568092,VALID
7,2,32,F1023_V70_D0117_P4,8,62,28,2.63341077826,2.90514076085,VALID
7,2,32,F1023_V70_D0120_P1,8,63,27,3.03079509139,3.14687161595,VALID
7,2,32,F1023_V70_D0120_P5,8,55,23,3.42749913183,2.86408164571,VALID
7,2,32,F1023_V70_D0120_P7,8,49,26,5.92289961132,3.05885257875,VALID
7,2,32,F1023_V70_D0120_P8,8,62,25,2.70354045231,3.52116901024,VALID
7,2,32,F1023_V70_D0122_P1,8,98,46,4.09389720247,4.02403441,VALID
7,2,32,F1023_v50_D0127_P1,8,19,8,2.41159487959,3.65888088183,VALID
7,2,32,F1023_v90_D0117_P7,8,53,27,2.42013670571,2.78873134751,VALID
8,3,4,F1023_V70_D0117_P2,8,57,26,2.9372906973,2.90835542397,VALID
8,3,4,F1023_V70_D0117_P4,8,62,28,2.41282575491,2.93697589965,VALID
8,3,4,F1023_V70_D0120_P1,8,63,27,3.06610870572,3.05736185443,VALID
8,3,4,F1023_V70_D0120_P5,8,55,23,3.20114476525,2.68134544143,VALID
8,3,4,F1023_V70_D0120_P7,8,49,26,5.54518737001,3.09280482218,VALID
8,3,4,F1023_V70_D0120_P8,8,62,25,2.42029076161,3.4017340786,VALID
8,3,4,F1023_V70_D0122_P1,8,98,46,4.09493148364,4.36462802325,VALID
8,3,4,F1023_v50_D0127_P1,8,19,8,2.65201224618,3.47781838129,VALID
8,3,4,F1023_v90_D0117_P7,8,53,27,2.26007465005,2.87231180771,VALID
9,3,8,F1023_V70_D0117_P2,8,57,26,2.9403040015,2.92159622549,VALID
9,3,8,F1023_V70_D0117_P4,8,62,28,2.40343269503,2.90025016319,VALID
9,3,8,F1023_V70_D0120_P1,8,63,27,3.0708145966,3.05583044027,VALID
