event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,409,54.9314036168133,562736.16,,,,46.0673789978027,,49.6098944000022,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,556,57.8714086021505,562739.1,,,,46.0886993408203,,48.969843200077,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,559,57.9314086999022,562739.16,,,,46.0898704528809,,48.7953847999145,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,307,52.8884954056696,562734.12,,,,45.5915679931641,,49.751757599983,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,308,52.9084954056696,562734.14,,,,45.5915679931641,,49.7950944000233,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,309,52.9284955034213,562734.16,,,,45.607551574707,,49.8384312000637,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,347,53.6884968719453,562734.92,,,,45.1984024047852,,51.4852296000839,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,348,53.7084968719453,562734.94,,,,45.1984024047852,,51.528566399872,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,349,53.728496969697,562734.96,,,,45.2714233398438,,51.5719031999124,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,464,56.0285012707722,562737.26,,,,45.7217254638672,,49.8365792000036,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
