event_id,run_id,logical_run_key,scene_id,prn,tracking_channel,center_window_id,recording_time_s,stage2_L,joint_selected_L,joint_multipath_count,joint_rss,joint_bic,snapshot_wins_vs_L1,minimum_multipath_power_db,maximum_relative_doppler_hz,maximum_coherence,joint_valid,event_status,label_rule_version,source_file,source_file_sha256,source_row_number,request_id,qa_status,modeling_eligibility,schema_version
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2,F1023_V70_D0117_P4,G25,7,347,53.6837349951124,4,2,1,1008803.02779112,-28229.523998844,5,-8.64239900343813,4.50392352314157,0.861787925786389,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_summary.csv,df2177fd85e3fc09ecc3b40db9413463ee8a369adc45eec59c9aff8cfe91a765,4,windows_unattended_F1023_V70_D0117_P4__G25_20260819T004818Z_008,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2,F1023_V70_D0117_P4,G25,7,350,53.7437351906158,4,2,1,1009295.82465626,-27230.3039607411,5,-4.2174922764624,0.116515775416701,0.899894209792511,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_summary.csv,df2177fd85e3fc09ecc3b40db9413463ee8a369adc45eec59c9aff8cfe91a765,5,windows_unattended_F1023_V70_D0117_P4__G25_20260819T004818Z_008,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_557,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,557,57.8914086999023,3,1,0,1016827.49180557,-12193.5019791102,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,2,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_558,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,558,57.9114086999022,3,1,0,1016949.06841233,-11948.8873615676,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,3,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_18,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,18,47.1113903225806,3,1,0,1016627.90428481,-12595.1395754617,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,4,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,58,47.9113916911046,3,1,0,1017735.57317792,-10367.1298767491,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,5,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,409,54.9314036168133,3,1,0,1017971.2755335,-9893.34159825629,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,6,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,556,57.8714086021505,3,1,0,1016775.22762256,-12298.6675726179,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,7,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,G28,6,559,57.9314086999022,3,1,0,1016696.26256934,-12457.5707091895,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_summary.csv,c5ca5c8a5cae44f73d1b2cf94635e213c01aada92011670f7c40ad5acb53acd4,8,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,307,52.8884954056696,4,1,0,1017200.53362108,-11443.0270067486,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,2,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
