candidate_id,run_id,scene_id,prn,center_window_id,recording_time_s,selected_L,multipath_count,minimum_path_run,reliable_multipath,candidate_status,event_id,source_file,source_file_sha256,source_row_number,modeling_eligibility,schema_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_996,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,996,58.739203030303,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,12,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1012,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1012,59.0592036168133,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,13,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1013,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1013,59.0792036168133,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,14,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1014,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1014,59.099203714565,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,15,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1076,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1076,60.3392060606061,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,16,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1079,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1079,60.3992061583578,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,17,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1185,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1185,62.5192101661779,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,18,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1188,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1188,62.5792102639296,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,19,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,348,53.7037350928641,4,3,4,1,rejected_candidate,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage3_reliable_centers.csv,8781d81742f8002e0fd426941f047ac5ad95d3185ce64004b0e9a576d3da70e6,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,349,53.7237350928641,4,3,4,1,rejected_candidate,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage3_reliable_centers.csv,8781d81742f8002e0fd426941f047ac5ad95d3185ce64004b0e9a576d3da70e6,3,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,347,53.6837349951124,4,3,3,1,confirmed_multipath,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage3_reliable_centers.csv,8781d81742f8002e0fd426941f047ac5ad95d3185ce64004b0e9a576d3da70e6,4,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,350,53.7437351906158,4,3,3,1,confirmed_multipath,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage3_reliable_centers.csv,8781d81742f8002e0fd426941f047ac5ad95d3185ce64004b0e9a576d3da70e6,5,eligible_pending_modeling_qa,sage-event-path-db-v1
