environment,elevation_band,row_count,track_count,scene_count,selected_model,selected_component_count,validation_fold_count,validation_nlpd,bic,component_effective_mass,means_delay_samples_abs_doppler_hz,covariances_delay_doppler,mixture_proportions
Urban,LOW,18,8,3,weighted full-covariance Gaussian mixture,1,2,3.7145235723982006,58.86832562518145,[7.999999999996],"[[1.4812499999999906, 43.491784740238394]]","[[[0.07527419023437494, 0.013852841977844681], [0.01385284197784468, 46.61795998728146]]]",[1.0]
Urban,MID,169,74,5,weighted full-covariance Gaussian mixture,3,4,5.014832113894611,419.0843374894539,"[26.59204340313027, 26.93190523726486, 20.476051359582886]","[[1.3299467514329857, 45.927569209896575], [1.8033503684722803, 44.79264820295492], [2.8975790557611534, 78.60254012886062]]","[[[0.05079100265114038, -0.042160290167179634], [-0.04216029016717964, 19.889577909264897]], [[0.26627223571498987, -0.9575605186449109], [-0.9575605186449109, 328.0983488757579]], [[0.2638980620937601, -1.3479510628717786], [-1.3479510628717786, 341.8453172757364]]]","[0.3593482976378382, 0.3639248581842002, 0.27672684417796145]"
Urban,HIGH,129,64,5,weighted full-covariance Gaussian mixture,3,1,4.791679803115163,339.2804854521253,"[10.601485908353258, 35.09088156336315, 18.3076325282566]","[[1.4131105486897426, 38.72523441627354], [1.9936659713730154, 49.50670721564112], [2.6497001126803026, 69.36155569860622]]","[[[0.16611436260118612, 13.107963296186053], [13.107963296186051, 1064.4548150233315]], [[0.5677856169069986, 1.151488767988199], [1.151488767988199, 18.226623837246446]], [[0.5114199827791976, 18.959778180621615], [18.95977818062162, 1132.5694589716295]]]","[0.16565184658031037, 0.5482954244220128, 0.2860527289976768]"
Mountain/Valley,LOW,22,12,3,weighted full-covariance Gaussian mixture,1,3,5.432524625120476,79.10616517485168,[11.999999999996],"[[1.6861111111111453, 54.06050702512892]]","[[[0.2795321162808845, 5.233925552311756], [5.233925552311756, 412.9908863817989]]]",[1.0]
Mountain/Valley,MID,117,53,3,weighted full-covariance Gaussian mixture,2,3,4.947935403509409,311.8636610097817,"[29.572735238535486, 23.4272647614395]","[[1.5724302382866076, 55.653176144944766], [2.742536988536083, 67.54463567969029]]","[[[0.12455737083832355, 4.348018141637834], [4.3480181416378345, 381.9499479725412]], [[0.27428413141668895, 9.69800689875669], [9.69800689875669, 599.4808902030582]]]","[0.5579955391997713, 0.4420044608002286]"
Mountain/Valley,HIGH,32,15,2,weighted full-covariance Gaussian mixture,1,1,6.469043383906638,98.89978003479757,[14.999999999997],"[[2.170000000000001, 53.65484297327127]]","[[[0.47143804766662184, 4.9615591717096645], [4.9615591717096645, 432.3618643351722]]]",[1.0]
