environment,elevation_band,row_count,track_count,scene_count,delay_family,delay_mu_log,delay_sigma_log,delay_validation_nlpd,doppler_family,doppler_component_count,doppler_component_centers_hz,doppler_validation_nlpd
Urban,LOW,18,8,3,lognormal,0.3752918532622605,0.1889234411240467,0.2702612106861437,log1p Gaussian mixture,1,[42.94299758442283],3.2258333804382593
Urban,MID,169,74,5,lognormal,0.5864273291210377,0.3821731374352792,1.0093027353886697,log1p Gaussian mixture,1,[49.74711532171078],5.006677889859529
Urban,HIGH,129,64,5,lognormal,0.6573810312571235,0.3987141292949886,1.2048610623913618,log1p Gaussian mixture,2,"[43.63168551941395, 49.333257917316075]",4.632548279176685
Mountain/Valley,LOW,22,12,3,lognormal,0.4722174236908452,0.3198387265289153,0.7815468758794353,log1p Gaussian mixture,1,[50.39484773696331],4.7792221302252385
Mountain/Valley,MID,117,53,3,lognormal,0.6760768502253716,0.35162900991818336,1.0341331188596439,log1p Gaussian mixture,2,"[70.21405801078078, 49.82680789924722]",3.8858525497673604
Mountain/Valley,HIGH,32,15,2,lognormal,0.7245152879471304,0.3190025987793878,1.5055889675109244,log1p Gaussian mixture,1,[48.952116562557464],4.7919587034918
