environment,elevation_band,row_count,track_count,scene_count,selected_model,parameters,validation_fold_count,validation_nlpd,validation_ecdf_distance,bic
Urban,LOW,18,8,3,Beta model after linear-power transform,"{""alpha"": 1.717092596938022, ""beta"": 1.5682947595047236}",2,2.554098006961455,0.2881012969610187,39.965937946552835
Urban,MID,169,74,5,Two-Gaussian mixture in dB,"{""means_db"": [-13.04115257192137, -2.8463914172596145], ""stds_db"": [2.5462772060691745, 1.5966176641955077], ""proportions"": [0.523948082162665, 0.4760519178373351]}",5,2.929567894096921,0.190793082749685,438.15451880043975
Urban,HIGH,129,64,5,Two-Gaussian mixture in dB,"{""means_db"": [-13.44755461424248, -3.450974719671795], ""stds_db"": [2.7420836401288287, 1.4580305719624518], ""proportions"": [0.6272472765816646, 0.37275272341833554]}",5,2.9074484261184055,0.09410787662753595,384.5176226081458
Mountain/Valley,LOW,22,12,3,Beta model after linear-power transform,"{""alpha"": 0.7276109242922416, ""beta"": 1.9326411668830126}",3,3.0480171306477075,0.19621870623686818,76.044256535058
Mountain/Valley,MID,117,53,3,Two-Gaussian mixture in dB,"{""means_db"": [-13.322717326830317, -3.965035319391657], ""stds_db"": [2.0636720130298816, 1.9216287341520455], ""proportions"": [0.6038897935763516, 0.3961102064236481]}",3,2.8235900075367937,0.05402311159466341,316.51878931160104
Mountain/Valley,HIGH,32,15,2,Single Gaussian in dB,"{""mean_db"": -9.255724585241703, ""std_db"": 4.703110236255497}",1,3.0324725673380306,0.1653929426747945,95.2925434979883
