environment,elevation_band,observation_count,track_count,scene_count,intercept_db,slope_db_per_sample,decay_rate_per_sample,weighted_r_squared,weighted_rmse_db,group_count,median,q25,q75,median_rms_delay_dispersion_ns
Urban,LOW,18,8,3,-4.207285838516397,0.6042832177641922,-0.1391413529170304,0.006137268853994349,2.109779344335347,18,0.6452998860541277,0.5968055852475568,0.7786289000683102,63.079167747226556
Urban,MID,169,74,5,0.6660665539698041,-4.573253473343915,1.0530305274204943,0.3989463087090136,4.284008575812637,117,0.6818997659307239,0.5666357307238403,0.7967119394902223,66.65686861492902
Urban,HIGH,129,64,5,-0.18881892888780755,-4.5715918434337235,1.0526479229943662,0.4746072471186733,3.894860944060343,63,0.7729934800205235,0.6022312766685598,0.8874028745602038,75.56143499711862
Mountain/Valley,LOW,22,12,3,-1.5940115556938774,-3.6672213563974356,0.844408922795014,0.16967004587477974,4.289173103354316,15,0.6260291821512894,0.5068448532710441,0.8279495907870233,61.195423475199355
Mountain/Valley,MID,117,53,3,0.9544497180956152,-5.05856583065997,1.164777827360669,0.5412780134763417,3.385160631492438,52,0.7488398938105887,0.6604355865783611,0.8411527866086265,73.20038062664601
Mountain/Valley,HIGH,32,15,2,2.7973340176443178,-5.5544048861225885,1.2789489891239163,0.6575443321768376,2.752246559540341,14,0.8104088463124834,0.7103371117921634,0.9081970910868056,79.21885105693875
