scope,retained_path_count,cell_id,total_relative_power_linear_including_direct,weighted_mean_delay_samples,rms_delay_dispersion_samples,maximum_excess_delay_samples,run_id,center_window_id,group_id,environment_class,elevation_band,track_count_in_set
environment_only,3,Mountain/Valley,1.3544777739830947,0.45444471136901077,0.8286539229940345,3.4,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,145,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::145,Mountain/Valley,MID,3
environment_only,1,Mountain/Valley,1.0138622834819626,0.025978221149793517,0.22064394895509845,1.9,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,347,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,MID,1
environment_only,1,Mountain/Valley,1.0127104794145838,0.018826426218969183,0.16698863735079547,1.5,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,349,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,MID,1
environment_only,3,Mountain/Valley,1.6422442515036038,0.506428191522091,0.7400150100296649,3.0,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,759,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::759,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.4626412210947266,0.518548912405614,0.8467070855016299,3.3,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,760,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::760,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.4474448822252168,0.5657228494982426,0.8950703793813946,3.6,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,761,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::761,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.4099077870401353,0.551168501368609,0.9052227785671324,3.7,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,HIGH,3
environment_only,3,Mountain/Valley,1.3593590768410586,0.5356904347108083,0.9370497137809437,3.8,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::348,Mountain/Valley,HIGH,3
environment_only,3,Mountain/Valley,1.4144855808556072,0.5447918943210872,0.9314244946129735,3.4,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,HIGH,3
environment_only,3,Mountain/Valley,1.5740966127868568,0.5743231818459833,0.8413986304779197,3.3,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::350,Mountain/Valley,HIGH,3
environment_only,2,Mountain/Valley,1.4167933925835627,0.45103424868528263,0.7225308391429301,2.4,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,18,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::18,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.3414249871345383,0.4128264439459582,0.7255444363885157,2.5,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,58,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::58,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.5778443821264032,0.580854531829527,0.7827428537903249,2.5,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::409,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.639933219804041,0.5760301878808434,0.7388963752692941,2.4,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::556,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.6553130765052781,0.46228643415969906,0.5925489404046625,2.1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,557,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::557,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.7130436276572243,0.7486507362195994,0.907208192871196,2.7,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,558,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::558,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.5694562093641282,0.6396224789445071,0.8601173398828525,2.7,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::559,Mountain/Valley,MID,2
environment_only,1,Mountain/Valley,1.0181861467372821,0.02143358182064276,0.1589367791139267,1.2,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,252,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::252,Mountain/Valley,MID,1
environment_only,1,Mountain/Valley,1.0337845612517305,0.04248460585837188,0.23113858587640065,1.3,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,253,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::253,Mountain/Valley,MID,1
environment_only,3,Mountain/Valley,1.742893948607008,0.5160715037895969,0.6830978129181722,3.0,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::307,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.8454888202576776,0.5836709811875834,0.7515264048830039,3.0,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::308,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.8391151113073174,0.6327111547223101,0.764766808049442,3.2,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::309,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.3799738193735622,0.5521544966652767,0.953589713975906,3.7,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.5018193072283206,0.5562330064188463,0.8608907114003989,3.3,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::348,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.3301596403818772,0.5521842859588074,1.0210874510167156,3.8,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,MID,3
environment_only,2,Mountain/Valley,1.5678626259613941,0.6996310241662342,0.9504664575433294,2.8,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::464,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.5574758739374441,0.5396353731816732,0.7461533827381734,2.4,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::465,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.8297768152429235,0.4751607787477609,0.5410490274472441,2.0,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,466,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::466,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.3258491729618183,0.39868959519257546,0.7170641548840403,2.5,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,876,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::876,Mountain/Valley,MID,2
environment_only,1,Mountain/Valley,1.3828793112570361,0.4706808640772118,0.7606687801683392,1.7,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1::436,Mountain/Valley,,1
environment_only,2,Mountain/Valley,1.4294704026687932,0.5940053873514426,0.9302492522853053,2.8,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::57,Mountain/Valley,LOW,2
environment_only,2,Mountain/Valley,1.0972840730318176,0.1204751931323185,0.4118171586062752,2.0,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,58,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::58,Mountain/Valley,LOW,2
environment_only,2,Mountain/Valley,1.506361046168856,0.5709962236391207,0.8208346857295381,2.6,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,275,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::275,Mountain/Valley,LOW,2
environment_only,1,Mountain/Valley,1.0304235045000243,0.038382816072525576,0.22005549373879746,1.3,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::357,Mountain/Valley,LOW,1
environment_only,3,Urban,1.4102989980523513,0.5792415449831525,0.9552826544562408,3.7,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::76,Urban,HIGH,3
environment_only,3,Urban,1.4143661967760122,0.355328536939864,0.6175629290614565,3.0,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,77,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::77,Urban,HIGH,3
environment_only,3,Urban,1.282132909954639,0.47437537887043507,0.9305525435941691,3.9,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::78,Urban,HIGH,3
environment_only,2,Urban,1.485774044627398,0.6073953412946085,0.8816239110600942,2.8,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,597,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::597,Urban,HIGH,2
environment_only,2,Urban,1.7614222840826217,0.45217060902458317,0.5361899212871872,2.0,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,598,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::598,Urban,HIGH,2
environment_only,2,Urban,1.657103765195241,0.4995842954934787,0.6341475907046571,2.2,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,599,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::599,Urban,HIGH,2
environment_only,2,Urban,1.5033613899302631,0.6559112453614371,0.9344915645149809,2.9,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,607,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::607,Urban,HIGH,2
environment_only,1,Urban,1.4881599662428948,0.6232555349564581,0.8920415094396728,1.9,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,948,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::948,Urban,HIGH,1
environment_only,1,Urban,1.7675001698303174,0.43422919156154793,0.4956553245526093,1.0,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,949,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::949,Urban,HIGH,1
environment_only,2,Urban,1.353131733615526,0.48316418206115785,0.8334300809524334,2.7,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,2562,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2562,Urban,HIGH,2
environment_only,2,Urban,1.3207609622776442,0.35885646914652486,0.6610232685417421,2.3,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,2563,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2563,Urban,HIGH,2
environment_only,3,Urban,1.2562013133762218,0.36696999005339365,0.7878264139889224,3.4,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,2581,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2581,Urban,HIGH,3
environment_only,3,Urban,1.4033239345354516,0.6047255590718532,1.0191367474611996,3.7,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,2582,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2582,Urban,HIGH,3
environment_only,3,Urban,1.4625363154318978,0.40620820001922214,0.6858359224846367,3.0,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,2583,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1::2583,Urban,HIGH,3
environment_only,1,Urban,1.9775946603506676,0.5437687246763967,0.5499646999652263,1.1,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,429,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::429,Urban,LOW,1
environment_only,1,Urban,1.917005003878136,0.9567059053294262,0.9990623711093594,2.0,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,430,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::430,Urban,LOW,1
environment_only,1,Urban,1.679263678811898,0.566301267832745,0.687113272333513,1.4,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,431,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1::431,Urban,LOW,1
environment_only,1,Urban,1.534956992384689,0.34851594868048186,0.476500348578913,1.0,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,1216,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1216,Urban,MID,1
environment_only,1,Urban,1.4645504702710426,0.4123556160140997,0.6050001212892127,1.3,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,1217,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1217,Urban,MID,1
environment_only,1,Urban,1.4106925625343187,0.3784668222362064,0.5905672979208179,1.3,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1218,Urban,MID,1
environment_only,1,Urban,1.6874946752272557,0.4888866450269566,0.5896217621040072,1.2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,1646,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::1646,Urban,MID,1
environment_only,1,Urban,1.3803306699068891,0.4408574590986023,0.714854275579917,1.6,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,2098,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2098,Urban,MID,1
environment_only,1,Urban,1.3648033120802137,0.4543992713434405,0.7523297571453618,1.7,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,2100,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2100,Urban,MID,1
environment_only,1,Urban,1.1564914207349601,0.17591038144162033,0.44467857332591376,1.3,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2593,Urban,MID,1
environment_only,1,Urban,1.0400950197949714,0.10022839210159443,0.5005477888082961,2.6,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::2594,Urban,MID,1
environment_only,1,Urban,1.5414892474646138,0.7025533890103169,0.9547384529863413,2.0,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,157,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::157,Urban,MID,1
environment_only,1,Urban,1.5043273415741125,0.6034519148495311,0.8497406858528019,1.8,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,159,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::159,Urban,MID,1
environment_only,1,Urban,1.291338547660319,0.3158536291381089,0.5851765252927003,1.4,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::469,Urban,MID,1
environment_only,1,Urban,1.3370560279886141,0.30250582258306186,0.5210539457705117,1.2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::471,Urban,MID,1
environment_only,1,Urban,1.251332444696371,0.4017037131285369,0.8012749547538722,2.0,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,472,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::472,Urban,MID,1
environment_only,2,Urban,1.4804703631876162,0.36371934996473343,0.5565862872705124,2.0,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,540,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::540,Urban,MID,2
environment_only,1,Urban,1.5876018982551536,0.5551787563062452,0.7242545705797228,1.5,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::594,Urban,MID,1
environment_only,1,Urban,1.6773325286078165,0.48457835310926783,0.5887935490721949,1.2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,595,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::595,Urban,MID,1
environment_only,1,Urban,1.1182998810265516,0.2433065861647971,0.7073945527835689,2.3,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,596,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::596,Urban,MID,1
environment_only,1,Urban,1.017242546752386,0.016950280744188306,0.12908512201985753,1.0,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,610,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::610,Urban,MID,1
environment_only,1,Urban,1.021336449952216,0.022979787853978566,0.15732036101395958,1.1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,611,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1::611,Urban,MID,1
