run_id,scene_id,prn,acceptance_class,context_missing_legacy,run_modeling_status,include_in_environment_modeling,event_count,geometry_valid_event_count,exclusion_reason,alignment_id,alignment_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G25,formal_accepted_production,0,ready,1,0,0,,F1023_V120_D0121_P2__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G28,formal_accepted_production,0,ready,1,0,0,,F1023_V120_D0121_P2__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G32,formal_accepted_production,0,ready,1,0,0,,F1023_V120_D0121_P2__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G11,formal_accepted_production,0,ready,1,0,0,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G28,formal_accepted_production,0,ready,1,0,0,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G29,formal_accepted_production,0,ready,1,0,0,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,formal_accepted_production,0,ready,1,8,8,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,validated_only,0,ready,1,4,4,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,validated_only,0,ready,1,7,7,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,validated_only,0,ready,1,8,8,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,validated_only,0,ready_with_geometry_exclusions,1,1,0,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,validated_only,0,ready,1,4,4,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,validated_only,0,ready,1,8,8,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,validated_only,0,ready,1,3,3,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,validated_only,0,ready,1,8,8,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,validated_only,0,ready,1,8,8,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,validated_only,0,ready,1,4,4,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G23,validated_only,0,ready,1,8,8,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,validated_only,0,ready_with_geometry_exclusions,1,8,0,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G27__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G27,validated_only,0,ready,1,0,0,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
