run_id,scene_id,prn,acceptance_class,context_missing_legacy,modeling_eligibility,include_in_modeling_ready_input,exclusion_reason,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G25,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G28,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G32,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G11,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G28,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G29,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
